epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,1.924921989440918,,,,
,0,,,,,,,,0.4609375,,1.578094244003296
,1,,,,,,,,0.4375,,1.6662354469299316
,2,,,,,,,,0.4375,,1.6885251998901367
,3,,,,,,,,0.4765625,,1.539099931716919
,4,,,,,,,,0.484375,,1.6498836278915405
,5,,,,,,,,0.5078125,,1.5131969451904297
,6,,,,,,,,0.5234375,,1.501753807067871
,7,,,,,,,,0.5490196347236633,,1.5472756624221802
0,66,,,,,,,0.4794086515903473,,1.5886166095733643,
0,66,,,,,1.931692361831665,,,,,
1,99,,,,,,1.5821304321289062,,,,
,8,,,,,,,,0.4453125,,1.6691415309906006
,9,,,,,,,,0.3828125,,1.753617525100708
,10,,,,,,,,0.375,,1.7161617279052734
,11,,,,,,,,0.4609375,,1.5981510877609253
,12,,,,,,,,0.5,,1.5227277278900146
,13,,,,,,,,0.40625,,1.6369895935058594
,14,,,,,,,,0.5,,1.5503294467926025
,15,,,,,,,,0.5490196347236633,,1.5620602369308472
1,133,,,,,,,0.44456177949905396,,1.63135826587677,
1,133,,,,,1.6612200736999512,,,,,
2,149,,,,,,1.5751670598983765,,,,
2,199,,,,,,1.5390894412994385,,,,
,16,,,,,,,,0.546875,,1.409261703491211
,17,,,,,,,,0.484375,,1.5239737033843994
,18,,,,,,,,0.515625,,1.4776239395141602
,19,,,,,,,,0.6171875,,1.3113741874694824
,20,,,,,,,,0.546875,,1.4569309949874878
,21,,,,,,,,0.6015625,,1.3227965831756592
,22,,,,,,,,0.609375,,1.3199326992034912
,23,,,,,,,,0.5686274766921997,,1.3706518411636353
2,200,,,,,,,0.5607180595397949,,1.4013786315917969,
2,200,,,,,1.5615265369415283,,,,,
3,249,,,,,,1.357123613357544,,,,
,24,,,,,,,,0.546875,,1.4043457508087158
,25,,,,,,,,0.5078125,,1.5424880981445312
,26,,,,,,,,0.421875,,1.6487483978271484
,27,,,,,,,,0.5859375,,1.2612791061401367
,28,,,,,,,,0.4609375,,1.5496726036071777
,29,,,,,,,,0.5390625,,1.4068468809127808
,30,,,,,,,,0.53125,,1.441346287727356
,31,,,,,,,,0.6078431606292725,,1.4238609075546265
3,267,,,,,,,0.5184794068336487,,1.462747573852539,
3,267,,,,,1.4558405876159668,,,,,
4,299,,,,,,1.4004226922988892,,,,
,32,,,,,,,,0.5390625,,1.3540546894073486
,33,,,,,,,,0.5,,1.493622064590454
,34,,,,,,,,0.4609375,,1.5194220542907715
,35,,,,,,,,0.5390625,,1.3426958322525024
,36,,,,,,,,0.5546875,,1.393821358680725
,37,,,,,,,,0.546875,,1.3473076820373535
,38,,,,,,,,0.578125,,1.3097243309020996
,39,,,,,,,,0.5490196347236633,,1.3699275255203247
4,334,,,,,,,0.5322069525718689,,1.393061637878418,
4,334,,,,,1.3966429233551025,,,,,
5,349,,,,,,1.364924669265747,,,,
5,399,,,,,,1.4355344772338867,,,,
,40,,,,,,,,0.5859375,,1.344521403312683
,41,,,,,,,,0.5546875,,1.4165399074554443
,42,,,,,,,,0.484375,,1.471381425857544
,43,,,,,,,,0.53125,,1.4516563415527344
,44,,,,,,,,0.5625,,1.4080759286880493
,45,,,,,,,,0.5859375,,1.3127152919769287
,46,,,,,,,,0.5625,,1.3575332164764404
,47,,,,,,,,0.529411792755127,,1.5031558275222778
5,401,,,,,,,0.551214337348938,,1.4004764556884766,
5,401,,,,,1.3348921537399292,,,,,
6,449,,,,,,1.2878602743148804,,,,
,48,,,,,,,,0.625,,1.2311604022979736
,49,,,,,,,,0.5234375,,1.429201364517212
,50,,,,,,,,0.59375,,1.3856160640716553
,51,,,,,,,,0.5546875,,1.3039400577545166
,52,,,,,,,,0.5703125,,1.391474723815918
,53,,,,,,,,0.6015625,,1.256805181503296
,54,,,,,,,,0.5390625,,1.381116509437561
,55,,,,,,,,0.5686274766921997,,1.428073525428772
6,468,,,,,,,0.5723336935043335,,1.3446505069732666,
6,468,,,,,1.2836066484451294,,,,,
7,499,,,,,,1.3259371519088745,,,,
,56,,,,,,,,0.6015625,,1.1955273151397705
,57,,,,,,,,0.6015625,,1.307192087173462
,58,,,,,,,,0.578125,,1.2849056720733643
,59,,,,,,,,0.6875,,1.0798344612121582
,60,,,,,,,,0.59375,,1.2703766822814941
,61,,,,,,,,0.6328125,,1.1903095245361328
,62,,,,,,,,0.6171875,,1.2113420963287354
,63,,,,,,,,0.6666666865348816,,1.0427720546722412
7,535,,,,,,,0.618796169757843,,1.2103862762451172,
7,535,,,,,1.2402077913284302,,,,,
8,549,,,,,,1.2999216318130493,,,,
8,599,,,,,,1.2068605422973633,,,,
,64,,,,,,,,0.6640625,,1.1432238817214966
,65,,,,,,,,0.578125,,1.3259598016738892
,66,,,,,,,,0.5625,,1.330247163772583
,67,,,,,,,,0.6640625,,1.1528249979019165
,68,,,,,,,,0.640625,,1.2432138919830322
,69,,,,,,,,0.609375,,1.2637856006622314
,70,,,,,,,,0.609375,,1.2146177291870117
,71,,,,,,,,0.7254902124404907,,1.2014212608337402
8,602,,,,,,,0.6240760087966919,,1.2370941638946533,
8,602,,,,,1.1782854795455933,,,,,
9,649,,,,,,1.0612388849258423,,,,
,72,,,,,,,,0.6875,,1.0144875049591064
,73,,,,,,,,0.609375,,1.207310438156128
,74,,,,,,,,0.6328125,,1.1289372444152832
,75,,,,,,,,0.703125,,1.0030615329742432
,76,,,,,,,,0.734375,,0.9851906299591064
,77,,,,,,,,0.6796875,,1.0621987581253052
,78,,,,,,,,0.65625,,1.1095142364501953
,79,,,,,,,,0.7058823704719543,,0.9579039812088013
9,669,,,,,,,0.6737064123153687,,1.0667610168457031,
9,669,,,,,1.1177787780761719,,,,,
10,699,,,,,,0.9351786971092224,,,,
,80,,,,,,,,0.6484375,,1.164549708366394
,81,,,,,,,,0.4921875,,1.4773499965667725
,82,,,,,,,,0.5546875,,1.4386147260665894
,83,,,,,,,,0.65625,,1.2625775337219238
,84,,,,,,,,0.578125,,1.3198083639144897
,85,,,,,,,,0.640625,,1.2407971620559692
,86,,,,,,,,0.6015625,,1.3189191818237305
,87,,,,,,,,0.6078431606292725,,1.3266935348510742
10,736,,,,,,,0.5966209173202515,,1.3180108070373535,
10,736,,,,,1.0591986179351807,,,,,
11,749,,,,,,1.0826276540756226,,,,
11,799,,,,,,1.09903085231781,,,,
,88,,,,,,,,0.6328125,,1.0847634077072144
,89,,,,,,,,0.6015625,,1.2304787635803223
,90,,,,,,,,0.6171875,,1.1945292949676514
,91,,,,,,,,0.6875,,1.0534603595733643
,92,,,,,,,,0.6015625,,1.1739026308059692
,93,,,,,,,,0.578125,,1.260679006576538
,94,,,,,,,,0.6640625,,1.1559338569641113
,95,,,,,,,,0.6470588445663452,,1.0511822700500488
11,803,,,,,,,0.6272439360618591,,1.1587011814117432,
11,803,,,,,1.026735544204712,,,,,
12,849,,,,,,0.9019073247909546,,,,
,96,,,,,,,,0.6640625,,1.0813450813293457
,97,,,,,,,,0.640625,,1.21942937374115
,98,,,,,,,,0.6328125,,1.1282641887664795
,99,,,,,,,,0.703125,,1.0042386054992676
,100,,,,,,,,0.609375,,1.1748645305633545
,101,,,,,,,,0.6953125,,1.0118677616119385
,102,,,,,,,,0.609375,,1.180245041847229
,103,,,,,,,,0.686274528503418,,0.9593989253044128
12,870,,,,,,,0.6525871157646179,,1.1059788465499878,
12,870,,,,,0.9768280982971191,,,,,
13,899,,,,,,0.866870105266571,,,,
,104,,,,,,,,0.5625,,1.2094782590866089
,105,,,,,,,,0.609375,,1.2063547372817993
,106,,,,,,,,0.65625,,1.1134541034698486
,107,,,,,,,,0.65625,,1.0766289234161377
